date,price,last_update
2026-04-01,2.209,2026-04-01T12:00:00+02:00
2026-04-02,2.259,2026-04-02T12:43:23+02:00
2026-04-03,2.239,2026-04-03T12:17:24+02:00
2026-04-04,2.239,2026-04-04T12:55:59+02:00
2026-04-05,2.239,2026-04-05T12:26:01+02:00
2026-04-06,2.239,2026-04-06T12:18:10+02:00
2026-04-07,2.279,2026-04-07T12:30:43+02:00
2026-04-08,2.259,2026-04-07T13:19:42+02:00
2026-04-09,2.109,2026-04-09T11:21:17+02:00
2026-04-10,2.109,2026-04-10T10:13:22+02:00
2026-04-11,2.129,2026-04-10T16:40:13+02:00
2026-04-12,2.109,2026-04-12T08:44:57+02:00
2026-04-13,2.109,2026-04-13T11:17:18+02:00
2026-04-14,2.109,2026-04-13T18:17:35+02:00
